Epoch,Cycle,Cycle_reward,Episode,Goal_Achieved,Steps
0,0,0.0,1,There is a blue rubber ball; are there any purple rubber balls on the right side of it?,3
0,0,1.0,7,"There is a green matte ball, are there any blue spheres on the right side of it?",1
0,0,2.0,13,"There is a cyan rubber sphere, are there any red balls in front of it?",3
0,0,2.0,13,There is a blue matte sphere; are there any green rubber spheres to the left of it?,5
0,0,4.0,25,There is a blue sphere; are there any cyan spheres to the right of it?,3
0,0,5.0,32,There is a purple ball; are there any cyan matte balls behind it?,0
0,0,6.0,34,"There is a green matte sphere, are there any red spheres on the right side of it?",2
0,0,7.0,37,There is a purple matte ball; are there any cyan balls in front of it?,4
0,0,7.0,37,There is a blue matte sphere; are there any purple matte balls right of it?,6
0,0,7.0,37,There is a red matte sphere; are there any cyan rubber spheres behind it?,11
0,0,7.0,37,There is a purple sphere; are there any green matte balls behind it?,12
0,0,11.0,45,There is a red ball; are there any blue spheres on the left side of it?,3
0,0,12.0,48,There is a purple rubber ball; are there any green rubber spheres behind it?,6
0,0,13.0,51,"There is a green rubber ball, are there any cyan rubber balls right of it?",4
0,0,14.0,52,There is a purple rubber sphere; are there any red rubber balls in front of it?,1
0,0,15.0,57,There is a red matte sphere; are there any cyan spheres in front of it?,6
0,0,16.0,58,"There is a cyan ball, are there any purple balls to the right of it?",0
0,0,17.0,59,There is a blue sphere; are there any green rubber balls behind it?,10
0,0,18.0,65,There is a purple rubber sphere; are there any red spheres behind it?,3
0,0,18.0,65,There is a red matte ball; are there any green balls in front of it?,5
0,0,20.0,86,"There is a cyan ball, are there any green spheres behind it?",1
0,0,21.0,89,There is a red matte sphere; are there any cyan rubber spheres behind it?,0
0,0,22.0,91,There is a blue matte sphere; are there any green rubber spheres to the left of it?,8
0,0,23.0,99,There is a red sphere; are there any green rubber balls on the right side of it?,4
0,1,0.0,8,There is a blue rubber sphere; are there any cyan balls left of it?,4
0,1,0.0,8,There is a purple ball; are there any blue matte spheres right of it?,12
0,1,2.0,13,"There is a green matte sphere, are there any red spheres on the right side of it?",3
0,1,3.0,14,There is a red sphere; are there any cyan balls to the right of it?,3
0,1,4.0,26,There is a red matte sphere; are there any cyan rubber spheres on the left side of it?,5
0,1,5.0,30,"There is a cyan ball, are there any purple balls to the right of it?",2
0,1,6.0,37,There is a red ball; are there any cyan rubber balls behind it?,1
0,1,6.0,37,There is a blue matte ball; are there any green spheres on the left side of it?,6
0,1,8.0,40,"There is a cyan matte sphere, are there any purple rubber balls to the right of it?",4
0,1,9.0,46,There is a blue matte ball; are there any green spheres on the left side of it?,1
0,1,10.0,60,There is a red ball; are there any blue rubber balls in front of it?,0
0,1,11.0,67,There is a purple matte sphere; are there any green spheres behind it?,8
0,1,12.0,69,There is a blue sphere; are there any green matte spheres to the left of it?,0
0,1,13.0,73,"There is a cyan ball, are there any green rubber balls right of it?",1
0,1,14.0,78,There is a red rubber sphere; are there any blue spheres to the right of it?,3
0,1,15.0,90,There is a blue matte sphere; are there any purple rubber spheres in front of it?,4
0,1,16.0,93,"There is a green rubber sphere, are there any red spheres behind it?",1
0,1,17.0,94,There is a purple matte sphere; are there any green matte spheres to the left of it?,1
0,1,17.0,94,There is a purple rubber sphere; are there any red spheres behind it?,7
0,2,0.0,3,There is a blue sphere; are there any cyan spheres to the right of it?,4
0,2,1.0,8,There is a purple matte sphere; are there any green rubber balls in front of it?,1
